State,City,Crop,pH soil,Area (ha),avgTemp,Rainfall (mm),Yield (ton/ha),Avg_smlvl,Soil Type,Nutrient Level,Credit Score,Risk Category,Risk Category Encoded,Predicted Risk Category,Risk Score (%)
Gujarat,Ahmedabad,Bajra,4.0,41701,32,541,7.95759913343362,14.0,Sandy Loam,Low,697,Medium Risk,2,2,69
Gujarat,Ahmedabad,Groundnut,4.0,501,32,541,5.876920289594993,11.0,Mixed Soil,Low,507,Medium Risk,2,2,69
Gujarat,Ahmedabad,Jowar,4.0,42501,32,541,3.070141987929195,22.0,Sandy Loam,Low,580,Medium Risk,2,2,51
Gujarat,Ahmedabad,Jowar,4.0,2001,24,19,4.481928677763606,19.0,Mixed Soil,Low,865,Very Low Risk,0,0,1
Gujarat,Ahmedabad,Wheat,4.0,96001,24,19,4.599187501661062,18.0,Sandy Loam,Low,721,Low Risk,1,1,29
Gujarat,Ahmedabad,Bajra,4.0,12201,31,95,2.9609462041681924,16.0,Sandy Soil,Low,806,Low Risk,1,1,23
Gujarat,Ahmedabad,Groundnut,4.0,101,31,95,6.1102626185023885,14.0,Sandy Soil,Low,850,Very Low Risk,0,0,0
Gujarat,Ahmedabad,Maize,5.0,601,29,201,5.169269780847585,11.0,Silty Clay,High,786,Low Risk,1,1,34
Gujarat,Ahmedabad,Rice,5.0,75301,29,201,7.105963235508529,9.0,Silty Clay,High,531,Medium Risk,2,2,54
Gujarat,Ahmedabad,Sugarcane,5.0,601,29,201,7.385858332564909,23.0,Silty Clay,High,702,Low Risk,1,1,33
Gujarat,Ahmedabad,Bajra,5.0,37301,30,611,4.358127432490601,17.0,Silty Clay,High,322,High Risk,3,3,98
Gujarat,Ahmedabad,Groundnut,6.0,701,30,611,6.69838384736459,16.0,Mixed Soil,High,693,Medium Risk,2,2,66
Gujarat,Ahmedabad,Jowar,4.0,58401,30,611,5.16414234039431,14.0,Sandy Soil,Low,445,High Risk,3,3,76
Gujarat,Ahmedabad,Maize,4.0,1301,30,611,7.431282311637713,14.0,Sandy Soil,Low,633,Medium Risk,2,2,55
Gujarat,Ahmedabad,Rice,5.0,52201,30,611,7.219512563620706,14.0,Sandy Soil,Low,330,High Risk,3,3,98
Gujarat,Ahmedabad,Jowar,4.0,2501,24,15,3.834442377814762,12.0,Sandy Soil,Low,885,Very Low Risk,0,0,10
Gujarat,Ahmedabad,Wheat,4.0,91601,24,15,4.0693706099070965,11.0,Sandy Soil,Low,716,Low Risk,1,1,32
Gujarat,Ahmedabad,Bajra,5.0,11101,31,96,8.431957569614038,20.0,Mixed Soil,High,804,Low Risk,1,1,29
Gujarat,Ahmedabad,Groundnut,5.0,401,31,96,6.1379772594063065,19.0,Mixed Soil,High,879,Very Low Risk,0,0,13
Gujarat,Ahmedabad,Sugarcane,5.0,601,28,196,7.132469606265317,18.0,Mixed Soil,Medium,821,Low Risk,1,1,23
Gujarat,Ahmedabad,Bajra,5.0,36601,30,585,3.5674807853569064,16.0,Mixed Soil,Medium,585,Medium Risk,2,2,59
Gujarat,Ahmedabad,Groundnut,4.0,1201,30,585,8.57624035972185,17.0,Mixed Soil,Medium,647,Medium Risk,2,2,65
Gujarat,Ahmedabad,Jowar,4.0,64201,30,585,4.9465622765056905,15.0,Mixed Soil,Low,422,High Risk,3,3,77
Gujarat,Ahmedabad,Maize,4.0,2401,30,585,2.613855364028651,15.0,Mixed Soil,Medium,538,Medium Risk,2,2,57
Gujarat,Ahmedabad,Rice,4.0,75101,30,585,7.616838034822178,14.0,Sandy Loam,Medium,468,High Risk,3,3,80
Gujarat,Ahmedabad,Jowar,4.0,2801,23,12,3.922862756595993,19.0,Mixed Soil,Medium,870,Very Low Risk,0,0,12
Gujarat,Ahmedabad,Wheat,5.0,84001,23,12,5.575656734988272,28.0,Mixed Soil,Medium,840,Low Risk,1,1,32
Gujarat,Ahmedabad,Bajra,4.0,11001,30,80,7.766830691027979,24.0,Sandy Soil,Low,732,Low Risk,1,1,31
Gujarat,Ahmedabad,Groundnut,4.0,401,30,80,6.020757520591062,23.0,Sandy Soil,Low,862,Very Low Risk,0,0,8
Gujarat,Ahmedabad,Sugarcane,4.0,601,27,205,4.310784128483893,21.0,Sandy Soil,Low,771,Low Risk,1,1,26
Gujarat,Ahmedabad,Bajra,4.0,36301,29,574,4.131827240050535,20.0,Sandy Soil,Low,684,Medium Risk,2,2,59
Gujarat,Ahmedabad,Groundnut,4.0,701,29,574,7.788594972221771,19.0,Sandy Soil,Low,664,Medium Risk,2,2,65
Gujarat,Ahmedabad,Jowar,5.0,9601,29,574,6.152285495921504,18.0,Mixed Soil,Medium,601,Medium Risk,2,2,59
Gujarat,Ahmedabad,Maize,5.0,501,29,574,3.447061792085914,18.0,Silty Clay,High,530,Medium Risk,2,2,53
Gujarat,Ahmedabad,Rice,5.0,84101,29,574,9.35092092260362,16.0,Silty Clay,High,659,Medium Risk,2,2,56
Gujarat,Ahmedabad,Jowar,5.0,301,23,14,8.042743162203632,14.0,Silty Clay,High,862,Very Low Risk,0,0,1
Gujarat,Ahmedabad,Wheat,5.0,48701,23,14,8.993683263008359,15.0,Silty Clay,High,798,Low Risk,1,1,26
Gujarat,Ahmedabad,Bajra,5.0,9101,30,87,2.3235303304070403,13.0,Sandy Soil,Low,832,Low Risk,1,1,25
Gujarat,Ahmedabad,Groundnut,4.0,101,30,87,3.401826037590092,13.0,Mixed Soil,Low,854,Very Low Risk,0,0,9
Gujarat,Ahmedabad,Sugarcane,5.0,801,28,211,7.644422507319347,15.0,Mixed Soil,Low,673,Medium Risk,2,2,62
Gujarat,Ahmedabad,Bajra,5.0,33501,30,595,8.147276309172657,15.0,Mixed Soil,Medium,439,High Risk,3,3,73
Gujarat,Ahmedabad,Groundnut,5.0,1301,30,595,4.411893204838835,14.0,Mixed Soil,Medium,617,Medium Risk,2,2,64
Gujarat,Ahmedabad,Maize,4.0,1501,30,595,4.852004696649692,16.0,Mixed Soil,Low,568,Medium Risk,2,2,69
